created_at,full_text,lang,cleaned_text,normalized_text
2025-07-13,yg kena efisiensi bidang pendidikan. ya bgimana mau menghasilkan sdm yg kompeten njing. kurikulum aja lu ubah tiap ganti mentri tolol. yg dibanyakin dana malah si onoh. blog,in,yg kena efisiensi bidang pendidikan ya bgimana mau menghasilkan sdm yg kompeten njing kurikulum aja lu ubah tiap ganti mentri tolol yg dibanyakin dana malah si onoh blog,yang kena efisiensi bidang pendidikan ya bgimana mau menghasilkan sdm yang kompeten njing kurikulum saja lu ubah tiap ganti menteri tolol yang dibanyakin dana malah si onoh blog
2025-07-08,@mas_soem @cobeh2022 Negara religius akan menurunkan SDM warganya......saya tidak menemukan Mentri agama di negara sekelas Arab Saudi tapi di Indonesia kok ada Mentri agama.... Di Timor Leste 97% katolik tidak ada Mentri agama karna urusan iman hak preogratif,in,negara religius akan menurunkan sdm warganyasaya tidak menemukan mentri agama di negara sekelas arab saudi tapi di indonesia kok ada mentri agama di timor leste katolik tidak ada mentri agama karna urusan iman hak preogratif,negara religius akan menurunkan sdm warganyasaya tidak menemukan menteri agama di negara sekelas arab saudi tapi di indonesia kok ada menteri agama di timor leste katolik tidak ada menteri agama karna urusan iman hak preogratif
2025-07-06,@kyinci mentri sdm mau gantiin bahlil? Wkwkk,in,mentri sdm mau gantiin bahlil wkwkk,menteri sdm mau gantiin bahlil wkwkk
2025-07-04,@NenkMonica Knp ni Mentri gak mengundurkan diri cuma utang utang iyang dan utang tanyakan ke Jokowi yang 11ribu triliun ada di mana klu uang nya ada buat bayar utang SDM di mana mana nikel emas batubara dan komoditi lainya belum lagi hasil laut pajak miskin amat sih negara,in,knp ni mentri gak mengundurkan diri cuma utang utang iyang dan utang tanyakan ke jokowi yang ribu triliun ada di mana klu uang nya ada buat bayar utang sdm di mana mana nikel emas batubara dan komoditi lainya belum lagi hasil laut pajak miskin amat sih negara,knp ini menteri gak mengundurkan diri cuma utang utang iyang dan utang tanyakan ke jokowi yang ribu triliun ada di mana klu uang nya ada buat bayar utang sdm di mana mana nikel emas batubara dan komoditi lainya belum lagi hasil laut pajak miskin amat sih negara
2025-07-02,@DS_yantie SDM rendah termasuk mentri mentri,in,sdm rendah termasuk mentri mentri,sdm rendah termasuk menteri menteri
2025-07-01,@msaid_didu Ini lh pakta yg tidak bisa di bantah oleh mentri dungu yg pernah mengata kan Negara ini SDM nya Rendah lalu kalian yg korupsi itu apa mempunyai Q yg baik secara logika jika SDA Negara ini tidak di korupsi indonesia bisa menjadi Negara terkuat no 1 di dunia,in,ini lh pakta yg tidak bisa di bantah oleh mentri dungu yg pernah mengata kan negara ini sdm nya rendah lalu kalian yg korupsi itu apa mempunyai q yg baik secara logika jika sda negara ini tidak di korupsi indonesia bisa menjadi negara terkuat no di dunia,ini lh pakta yang tidak bisa di bantah oleh menteri dungu yang pernah mengata kan negara ini sdm nya rendah lalu kalian yang korupsi itu apa mempunyai q yang baik secara logika jika sda negara ini tidak di korupsi indonesia bisa menjadi negara terkuat no di dunia
2025-06-28,@MemeComicIndo Mentri sdm tapi gak punya otak,in,mentri sdm tapi gak punya otak,menteri sdm tapi gak punya otak
2025-06-26,@Mdy_Asmara1701 Mentri ESDM aja pemikirannya begitu makanya SDM sini banyak yang rada-rada.,in,mentri esdm aja pemikirannya begitu makanya sdm sini banyak yang radarada,menteri esdm saja pemikirannya begitu makanya sdm sini banyak yang radarada
2025-06-25,@geloraco @bahlillahadalia inilah contoh mentri SDM rendah sm dgn junjunan nya di otak nya cm cuan dgn cara merusak negri ini,in,inilah contoh mentri sdm rendah sm dgn junjunan nya di otak nya cm cuan dgn cara merusak negri ini,inilah contoh menteri sdm rendah sama dengan junjunan nya di otak nya cm cuan dengan cara merusak negri ini
2025-06-25,@BosPurwa @prabowo Kebanyakan aneh aneh Mentri Prabowo ada lagi yg mau rampok pulau dan mau jual pulau entah kurang SDM atau kebanyakan mabuknya,in,kebanyakan aneh aneh mentri prabowo ada lagi yg mau rampok pulau dan mau jual pulau entah kurang sdm atau kebanyakan mabuknya,kebanyakan aneh aneh menteri prabowo ada lagi yang mau rampok pulau dan mau jual pulau entah kurang sdm atau kebanyakan mabuknya
